id,name,description
1,La Casa,"Restaurante tradicional de la casa: platos caseros, pollo a la brasa y guisos al estilo familiar. Ambiente acogedor. Ambiente íntimo."
2,El Puerto Tradicional,"Mariscos frescos, ceviche, camarones y pescado a la plancha. Vista al mar y horario para cenas. Ofrecemos wifi gratis."
3,Doña Lupita Gourmet,"Comida mexicana auténtica: tacos al pastor, mole poblano y salsas caseras. Excelente para familias. Ofrecemos wifi gratis."
4,Parrilla Norte Del Valle,"Deliciosa y moderno. Parrilla y carnes: cortes importados, parrilladas para dos y servicio de cerveza artesanal."
5,Sakura Sushi Clásico,"Sushi y cocina japonesa: nigiri, maki, ramen y menú vegetariano. Ideal para cenas formales. Ofrecemos buffet."
6,Pizza Roma Tumbes,"Pizzas al horno de leña, masa fina, ingredientes italianos y opciones vegetarianas. Entrega a domicilio. Ofrecemos pet friendly."
7,El Rincón Vegetal Norte,"Opciones veganas y vegetarianas, bowls, smoothies y postres saludables. Ambiente moderno. Menú infantil disponible."
8,Café Central Imperial,"Desayunos, brunch y café de especialidad. Tostadas, croissants y pastelería artesanal. Wifi gratis. Ambiente acogedor."
9,Tacos El Rey Imperial,"Tacos y antojitos: pastor, bistec, suadero y salsa picante. Comida rápida tradicional. Ofrecemos menú infantil."
10,La Tasca Sur,"Tapas y platos españoles: paella, jamón ibérico, sangría y menú para compartir. Música en vivo fines de semana. Pet friendly disponible."
11,Mar y Tierra,Fusión mediterránea: platos con mariscos y carnes. Recomendado: risotto de camarón. Ofrecemos wifi gratis.
12,Bistro Provenza Real,"Cocina francesa y platillos europeos: quiches, crepes y menú ejecutivo al mediodía. Ambiente elegante."
13,El Mercado Colonial,Ingredientes locales y mercado-cocina: platillos del día con productos de temporada. Ofrecemos pet friendly.
14,La Esquina Imperial,"Comida rápida y antojitos: hamburguesas gourmet, papas fritas y batidos. Excelente para niños. Terraza disponible."
15,Brasa y Sazón Tradicional,"Pollo rostizado, adobos caseros y guarniciones tradicionales. Servicio familiar y para llevar. Ambiente amplio."
16,Sabor a Mar Lima,"Especialidad en mariscos y pescados: cócteles de mariscos, filete a la mantequilla. Reservas online disponible."
17,Noche de Tapas Imperial,"Tradicional y rústico. Bar de tapas y vinos, ambiente nocturno y música en vivo. Ideal para grupos."
18,Panadería Dulce Hogar Gourmet,"Panadería y repostería: pan fresco, pasteles personalizados y café por la mañana. Ambiente moderno."
19,La Cantina Oeste,"Cantina mexicana clásica: botanas, tequilas, mezcales y platos fuertes estilo casero. Ambiente íntimo."
20,Sabor Asiático Clásico,"Comida selecta. Cocina asiática variada: wok, dim sum, sushi y platos picantes. Servicio rápido."
